"","dateTime","day_of_week","month","season"
"1",2014-01-01,"Wednesday",1,"winter"
"2",2014-01-02,"Thursday",1,"winter"
"3",2014-01-03,"Friday",1,"winter"
"4",2014-01-04,"Saturday",1,"winter"
"5",2014-01-05,"Sunday",1,"winter"
"6",2014-01-06,"Monday",1,"winter"
"7",2014-01-07,"Tuesday",1,"winter"
"8",2014-01-08,"Wednesday",1,"winter"
"9",2014-01-09,"Thursday",1,"winter"
"10",2014-01-10,"Friday",1,"winter"
"11",2014-01-11,"Saturday",1,"winter"
"12",2014-01-12,"Sunday",1,"winter"
"13",2014-01-13,"Monday",1,"winter"
"14",2014-01-14,"Tuesday",1,"winter"
"15",2014-01-15,"Wednesday",1,"winter"
"16",2014-01-16,"Thursday",1,"winter"
"17",2014-01-17,"Friday",1,"winter"
"18",2014-01-18,"Saturday",1,"winter"
"19",2014-01-19,"Sunday",1,"winter"
"20",2014-01-20,"Monday",1,"winter"
"21",2014-01-21,"Tuesday",1,"winter"
"22",2014-01-22,"Wednesday",1,"winter"
"23",2014-01-23,"Thursday",1,"winter"
"24",2014-01-24,"Friday",1,"winter"
"25",2014-01-25,"Saturday",1,"winter"
"26",2014-01-26,"Sunday",1,"winter"
"27",2014-01-27,"Monday",1,"winter"
"28",2014-01-28,"Tuesday",1,"winter"
"29",2014-01-29,"Wednesday",1,"winter"
"30",2014-01-30,"Thursday",1,"winter"
"31",2014-01-31,"Friday",1,"winter"
"32",2014-02-01,"Saturday",2,"winter"
"33",2014-02-02,"Sunday",2,"winter"
"34",2014-02-03,"Monday",2,"winter"
"35",2014-02-04,"Tuesday",2,"winter"
"36",2014-02-05,"Wednesday",2,"winter"
"37",2014-02-06,"Thursday",2,"winter"
"38",2014-02-07,"Friday",2,"winter"
"39",2014-02-08,"Saturday",2,"winter"
"40",2014-02-09,"Sunday",2,"winter"
"41",2014-02-10,"Monday",2,"winter"
"42",2014-02-11,"Tuesday",2,"winter"
"43",2014-02-12,"Wednesday",2,"winter"
"44",2014-02-13,"Thursday",2,"winter"
"45",2014-02-14,"Friday",2,"winter"
"46",2014-02-15,"Saturday",2,"winter"
"47",2014-02-16,"Sunday",2,"winter"
"48",2014-02-17,"Monday",2,"winter"
"49",2014-02-18,"Tuesday",2,"winter"
"50",2014-02-19,"Wednesday",2,"winter"
"51",2014-02-20,"Thursday",2,"winter"
"52",2014-02-21,"Friday",2,"winter"
"53",2014-02-22,"Saturday",2,"winter"
"54",2014-02-23,"Sunday",2,"winter"
"55",2014-02-24,"Monday",2,"winter"
"56",2014-02-25,"Tuesday",2,"winter"
"57",2014-02-26,"Wednesday",2,"winter"
"58",2014-02-27,"Thursday",2,"winter"
"59",2014-02-28,"Friday",2,"winter"
"60",2014-03-01,"Saturday",3,"spring"
"61",2014-03-02,"Sunday",3,"spring"
"62",2014-03-03,"Monday",3,"spring"
"63",2014-03-04,"Tuesday",3,"spring"
"64",2014-03-05,"Wednesday",3,"spring"
"65",2014-03-06,"Thursday",3,"spring"
"66",2014-03-07,"Friday",3,"spring"
"67",2014-03-08,"Saturday",3,"spring"
"68",2014-03-09,"Sunday",3,"spring"
"69",2014-03-10,"Monday",3,"spring"
"70",2014-03-11,"Tuesday",3,"spring"
"71",2014-03-12,"Wednesday",3,"spring"
"72",2014-03-13,"Thursday",3,"spring"
"73",2014-03-14,"Friday",3,"spring"
"74",2014-03-15,"Saturday",3,"spring"
"75",2014-03-16,"Sunday",3,"spring"
"76",2014-03-17,"Monday",3,"spring"
"77",2014-03-18,"Tuesday",3,"spring"
"78",2014-03-19,"Wednesday",3,"spring"
"79",2014-03-20,"Thursday",3,"spring"
"80",2014-03-21,"Friday",3,"spring"
"81",2014-03-22,"Saturday",3,"spring"
"82",2014-03-23,"Sunday",3,"spring"
"83",2014-03-24,"Monday",3,"spring"
"84",2014-03-25,"Tuesday",3,"spring"
"85",2014-03-26,"Wednesday",3,"spring"
"86",2014-03-27,"Thursday",3,"spring"
"87",2014-03-28,"Friday",3,"spring"
"88",2014-03-29,"Saturday",3,"spring"
"89",2014-03-30,"Sunday",3,"spring"
"90",2014-03-31,"Monday",3,"spring"
"91",2014-04-01,"Tuesday",4,"spring"
"92",2014-04-02,"Wednesday",4,"spring"
"93",2014-04-03,"Thursday",4,"spring"
"94",2014-04-04,"Friday",4,"spring"
